Product,Business Location,Unit Purchase Price,Selling Price,Current stock,Product Type,Category,Brand,Tax,SKU
S3532 Siccoo,BEST PRICE SHOP,"KSh 1,807","KSh 1,950",10 pieces,Single,,,,18485
S3533 Siccoo.,BEST PRICE SHOP,"KSh 1,810","KSh 1,950",13 pieces,Single,,,,18472
S3600 Kgtel Flap,BEST PRICE SHOP,"KSh 1,550","KSh 1,600",68 pieces,Single,FEATURE PHONES,KGTEL,,18062
S467 Samhe.,BEST PRICE SHOP,"KSh 1,150","KSh 1,200",0 pieces,Single,,,,18400
S475 Saffron,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,FEATURE PHONES,SAFFRON,,22055
S5020 Samhe,BEST PRICE SHOP,KSh 820,KSh 850,-4 pieces,Single,,,,18225
S5052 Momofly,BEST PRICE SHOP,KSh 830,KSh 860,0 pieces,Single,,,,18324
S5082 Samhe.,BEST PRICE SHOP,KSh 860,KSh 890,3 pieces,Single,,,,18412
S528 Samhe.,BEST PRICE SHOP,"KSh 1,000","KSh 1,050",0 pieces,Single,,,,18532
S528 Superstar.,BEST PRICE SHOP,KSh 950,"KSh 1,000",189 pieces,Single,FEATURE PHONES,,,18572
S528 Switch,BEST PRICE SHOP,KSh 950,"KSh 1,000",0 pieces,Single,,,,18573
S529 Saffron,BEST PRICE SHOP,KSh 750,KSh 780,-16 pieces,Single,,,,20535
S529 Samhe.,BEST PRICE SHOP,"KSh 1,030","KSh 1,100",1 pieces,Single,,,,18622
S5606 Samhe.,BEST PRICE SHOP,KSh 810,KSh 850,1 pieces,Single,,,,18638
S5618 Superstar.,BEST PRICE SHOP,KSh 820,KSh 850,0 pieces,Single,,,,18616
S5625 Saffron,BEST PRICE SHOP,KSh 750,KSh 780,0 pieces,Single,FEATURE PHONES,SAFFRON,,21710
S5626 Mini Samhe,BEST PRICE SHOP,KSh 820,KSh 860,0 pieces,Single,,,,18366
S5626 Samhe,BEST PRICE SHOP,"KSh 1,170","KSh 1,250",0 pieces,Single,FEATURE PHONES,SAMHE,,25182
S5626S Samhe.,BEST PRICE SHOP,KSh 860,KSh 900,0 pieces,Single,,,,18251
S5626y Samhe. Not for selling,BEST PRICE SHOP,"KSh 1,170","KSh 1,250",524 pieces,Single,,,,18182
S6 Samking,BEST PRICE SHOP,KSh 0,"KSh 1,200",7 pieces,Single,,,,17745
S6310 Switch.,BEST PRICE SHOP,KSh 950,"KSh 1,000",0 pieces,Single,,,,18507
S6600 Samhe,BEST PRICE SHOP,"KSh 1,450","KSh 1,500",264 pieces,Single,FEATURE PHONES,SAMHE,,19420
S7500 Samhe,BEST PRICE SHOP,KSh 900,KSh 940,1 pieces,Single,FEATURE PHONES,MOMOFLY,,27983
S8 Samsung X Uk.,BEST PRICE SHOP,"KSh 15,329","KSh 19,000",18 pieces,Single,,,,18536
S8+ X Uk Samsung.,BEST PRICE SHOP,"KSh 17,989","KSh 22,000",8 pieces,Single,,,,18538
S9 X Uk Samsung.,BEST PRICE SHOP,"KSh 15,329","KSh 19,500",7 pieces,Single,,,,18537
S90 Maxfone,"BEST PRICE SHOP, KWA BOI GUEST HOUSE","KSh 4,850","KSh 5,050",1 pieces,Single,SMART PHONES,MAXFONE,,26069
S9510 Wioo,BEST PRICE SHOP,"KSh 1,437","KSh 1,600",40 pieces,Single,,,,18482
S9710 Wikoo.,BEST PRICE SHOP,"KSh 1,437","KSh 1,700",30 pieces,Single,,,,18487
S9810 Wioo,BEST PRICE SHOP,"KSh 1,511","KSh 1,600",27 pieces,Single,,,,18483
S9933 Wioo,BEST PRICE SHOP,"KSh 1,548","KSh 1,700",30 pieces,Single,,,,18478
S9944 Wioo,BEST PRICE SHOP,"KSh 1,548","KSh 1,700",16 pieces,Single,,,,18479
S9955 Wikoo,BEST PRICE SHOP,"KSh 1,548","KSh 1,700",27 pieces,Single,,,,18486
S9966 Wioo,BEST PRICE SHOP,"KSh 1,548","KSh 1,700",0 pieces,Single,,,,18481
S9966 Wioo.,BEST PRICE SHOP,"KSh 1,548","KSh 1,700",0 pieces,Single,,,,18480
SA1pro Tecno,BEST PRICE SHOP,KSh 0,"KSh 3,300",0 pieces,Single,,,,17552
SA400 Smba,BEST PRICE SHOP,KSh 800,KSh 850,1 pieces,Single,FEATURE PHONES,SMBA,,23225
Sa500 SMBA,BEST PRICE SHOP,KSh 800,KSh 850,1 pieces,Single,FEATURE PHONES,SMBA,,22539
Sa800 Smba,BEST PRICE SHOP,KSh 800,KSh 850,-2 pieces,Single,FEATURE PHONES,SMBA,,23226
Sa900 Smba,BEST PRICE SHOP,KSh 800,KSh 850,3 pieces,Single,FEATURE PHONES,SMBA,,23227
Samsung A02S[32+3],BEST PRICE SHOP,KSh 0,"KSh 11,800",0 pieces,Single,,,,17151
Samsung Duos,BEST PRICE SHOP,"KSh 1,579","KSh 2,500",0 pieces,Single,,,,18519
Samsung m01core,BEST PRICE SHOP,KSh 0,"KSh 9,900",0 pieces,Single,,,,16982
Samsung Tab T225 A7 Lite{32+3},BEST PRICE SHOP,"KSh 18,600","KSh 21,500",0 pieces,Single,,,,17919
Sathiya 11k,BEST PRICE SHOP,"KSh 4,469","KSh 4,700",0 pieces,Single,WOOFERS,SATHIYA,,17017
Sathiya 5031,BEST PRICE SHOP,"KSh 4,470","KSh 4,700",1 pieces,Single,WOOFERS,SATHIYA,,17073
Sathiya 5306,BEST PRICE SHOP,"KSh 4,470","KSh 4,700",29 pieces,Single,WOOFERS,SATHIYA,,17016
Sathiya 6611,BEST PRICE SHOP,KSh 0,"KSh 4,150",0 pieces,Single,,,,17046
Sayona Iron Box.,BEST PRICE SHOP,KSh 975,"KSh 1,200",0 pieces,Single,,,,17939
Sb601k ailyons Sound Bar,BEST PRICE SHOP,"KSh 9,500","KSh 10,000",4 pieces,Single,WOOFERS,AILYONS,,28428
Screen Guard,BEST PRICE SHOP,KSh 0,KSh 40,0 pieces,Single,,,,17414
Seven Colour,BEST PRICE SHOP,KSh 0,KSh 70,0 pieces,Single,,,,17097
Sf-6102 Lights,BEST PRICE SHOP,KSh 0,KSh 550,0 pieces,Single,,,,17576
Shirui,BEST PRICE SHOP,KSh 210,KSh 290,770 pieces,Single,,,,17176
Sht 1079 Sayona,BEST PRICE SHOP,"KSh 9,333","KSh 9,800",0 pieces,Single,,,,17936
Sht 1148Bt Sayona,BEST PRICE SHOP,"KSh 12,200","KSh 12,700",0 pieces,Single,,,,17935
Sht 1149 Sayona,BEST PRICE SHOP,"KSh 12,400","KSh 12,900",0 pieces,Single,,,,17937
Sht 1217Bt Sayona,BEST PRICE SHOP,"KSh 8,770","KSh 9,200",0 pieces,Single,,,,17933
Sht 1218Bt Sayona,BEST PRICE SHOP,"KSh 8,770","KSh 9,200",0 pieces,Single,,,,17934
Silicon Covers,BEST PRICE SHOP,KSh 28,KSh 30,0 pieces,Single,,,,18466
Skylife Decorder.,BEST PRICE SHOP,"KSh 1,180","KSh 1,300",0 pieces,Single,SATELITE,,,18258
Sm 42B,BEST PRICE SHOP,KSh 0,"KSh 2,300",0 pieces,Single,,,,17511
Sm52B Solarmax,BEST PRICE SHOP,KSh 0,"KSh 2,500",0 pieces,Single,,,,17479
Sm52C Solarmax,BEST PRICE SHOP,KSh 0,"KSh 3,500",0 pieces,Single,,,,17226
Smart Watch,BEST PRICE SHOP,KSh 900,"KSh 1,000",1 pieces,Single,,,,17800
Smart Watch Fsw-01B Flame,BEST PRICE SHOP,"KSh 3,500","KSh 4,000",14 pieces,Single,ACCESSORIES,FLAME,,22556
Smart Watch Oale,BEST PRICE SHOP,"KSh 2,200","KSh 2,500",0 pieces,Single,,,,18414
Smart Watch S7 Oale,BEST PRICE SHOP,"KSh 1,300","KSh 1,500",0 pieces,Single,,,,18413
Solar For Charging,BEST PRICE SHOP,KSh 380,KSh 430,0 pieces,Single,,,,17130
SOLDER GUEST,BEST PRICE SHOP,KSh 0,KSh 0,1 pieces,Single,,,,17121
Sonar Decorder,BEST PRICE SHOP,"KSh 1,150","KSh 1,250",0 pieces,Single,SATELITE,,,17216
Sonar Remotes,BEST PRICE SHOP,KSh 100,KSh 150,0 pieces,Single,,,,17659
Sony Dvd Not for selling,BEST PRICE SHOP,KSh 0,"KSh 1,950",0 pieces,Single,,,,17052
Sound Bar Tagwood,BEST PRICE SHOP,KSh 0,"KSh 3,700",0 pieces,Single,,,,17185
Sowhat W100.W101 Not for selling,BEST PRICE SHOP,KSh 800,KSh 830,0 pieces,Single,,,,18177
Spark 10 Copy,BEST PRICE SHOP,"KSh 3,430","KSh 4,000",39 pieces,Single,,,,18508
Spark 10 Sowhat,BEST PRICE SHOP,"KSh 3,600","KSh 3,800",0 pieces,Single,,,,17442
Spark 10c 16/2 Calus,BEST PRICE SHOP,"KSh 3,950","KSh 4,150",0 pieces,Single,SMART PHONES,CALUS,,26489
Spark 11 Pro Calus,BEST PRICE SHOP,"KSh 4,500","KSh 4,800",0 pieces,Single,FEATURE PHONES,CALUS,,21815
Spark 12 Pro Calus,BEST PRICE SHOP,"KSh 4,500","KSh 4,800",1 pieces,Single,FEATURE PHONES,CALUS,,21816
Spark 5Pro[KD7]128+4,BEST PRICE SHOP,"KSh 14,020","KSh 14,300",0 pieces,Single,,,,17145
Spark 7 Mini,BEST PRICE SHOP,"KSh 2,800","KSh 3,000",0 pieces,Single,,,,17741
Spark 7 Sowart,BEST PRICE SHOP,"KSh 3,600","KSh 3,800",2 pieces,Single,,,,17436
Spark 7p Mini,BEST PRICE SHOP,"KSh 2,800","KSh 3,000",0 pieces,Single,,,,17728
Spark 8p Copy,BEST PRICE SHOP,"KSh 4,408","KSh 5,500",34 pieces,Single,,,,18513
Spark 9 Pro Copy.,BEST PRICE SHOP,"KSh 4,408","KSh 5,500",11 pieces,Single,,,,18512
Spark 9 Pro Taishen.,BEST PRICE SHOP,"KSh 4,400","KSh 4,600",0 pieces,Single,,,,18747
Spark 9 Sowhat,BEST PRICE SHOP,"KSh 3,600","KSh 3,800",1 pieces,Single,,,,17441
Spark 9 Taishen,BEST PRICE SHOP,"KSh 4,600","KSh 4,800",7 pieces,Single,FEATURE PHONES,TAISHEN,,22321
Spark Go 2023 Copy.,BEST PRICE SHOP,"KSh 3,432","KSh 4,000",36 pieces,Single,,,,18510
Sq 1000,BEST PRICE SHOP,"KSh 2,700","KSh 2,750",1 pieces,Single,,,,18259
Sq 1000L,BEST PRICE SHOP,"KSh 2,850","KSh 2,900",0 pieces,Single,,,,18257
Sq 1000S.,BEST PRICE SHOP,"KSh 1,450","KSh 1,500",0 pieces,Single,,,,18389
Sq 3310S,BEST PRICE SHOP,"KSh 2,150","KSh 2,200",0 pieces,Single,,,,18423
Sq 5000S,BEST PRICE SHOP,"KSh 1,450","KSh 1,500",11 pieces,Single,,,,18424
Sq 7700,BEST PRICE SHOP,"KSh 2,150","KSh 2,200",19 pieces,Single,,,,17492
Sq 7700s,BEST PRICE SHOP,"KSh 1,500","KSh 1,550",0 pieces,Single,,,,17493
Sq 8700,BEST PRICE SHOP,"KSh 2,150","KSh 2,200",0 pieces,Single,,,,18425
Sq 8700S,BEST PRICE SHOP,"KSh 1,500","KSh 1,550",0 pieces,Single,,,,18426
Sq 9800,BEST PRICE SHOP,"KSh 2,650","KSh 2,700",0 pieces,Single,,,,18427
Sq 9800S,BEST PRICE SHOP,"KSh 1,450","KSh 1,500",0 pieces,Single,,,,18428
Sq 9900,BEST PRICE SHOP,"KSh 2,650","KSh 2,700",0 pieces,Single,,,,18429
Sq Ls810,BEST PRICE SHOP,"KSh 1,950","KSh 2,150",0 pieces,Single,,,,17041
Sq Ls820,BEST PRICE SHOP,"KSh 2,600","KSh 2,650",0 pieces,Single,,,,17042
Sq Ls930,BEST PRICE SHOP,"KSh 2,700","KSh 2,750",0 pieces,Single,,,,17043
Sq Ls960,BEST PRICE SHOP,"KSh 2,350","KSh 2,450",0 pieces,Single,,,,17044
Sq PDA2,BEST PRICE SHOP,"KSh 2,350","KSh 2,450",0 pieces,Single,,,,18388
Sq3306 Sq,BEST PRICE SHOP,"KSh 1,650","KSh 1,700",0 pieces,Single,,,,18323
St 2521BT,BEST PRICE SHOP,KSh 480,KSh 530,10 pieces,Single,,,,17319
St-6031 Sembule Radio,BEST PRICE SHOP,KSh 750,KSh 800,5 pieces,Single,,,,17907
Stand Fan Sathiya Remote,BEST PRICE SHOP,"KSh 2,389","KSh 2,600",0 pieces,Single,,SATHIYA,,18378
Stands Ailipu,BEST PRICE SHOP,"KSh 1,600","KSh 1,800",0 pieces,Single,,,,17537
Startimes Comlete,BEST PRICE SHOP,"KSh 2,100","KSh 2,300",-120 pieces,Single,SATELITE,STARTIMES,,17056
Startimes Decorder Aerial,BEST PRICE SHOP,KSh 850,KSh 900,90 pieces,Single,SATELITE,STARTIMES,,17054
Startimes Decorder Dish,BEST PRICE SHOP,"KSh 1,100","KSh 1,400",0 pieces,Single,SATELITE,STARTIMES,,17094
Startimes Dish,BEST PRICE SHOP,KSh 0,"KSh 1,100",10 pieces,Single,SATELITE,STARTIMES,,17093
Startimes Remote,BEST PRICE SHOP,KSh 120,KSh 200,31 pieces,Single,,,,17223
Sterio Earphone,BEST PRICE SHOP,KSh 0,KSh 60,30 pieces,Single,,,,17405
Strips,BEST PRICE SHOP,KSh 0,KSh 20,-20 pieces,Single,,,,17804
Sunny 4 Wikoo,BEST PRICE SHOP,KSh 0,"KSh 4,800",1 pieces,Single,,,,17394
